athlete_country,year_of_event,total_finishers
FRA,2018,96858
FRA,2019,90953
USA,2018,90615
FRA,2022,86164
USA,2019,82915
FRA,2016,74286
USA,2016,71837
FRA,2017,70953
USA,2022,69043
USA,2021,65511
USA,2017,63212
FRA,2021,54604
JPN,2018,52135
FRA,2015,50659
FRA,2014,48406
JPN,2016,45879
USA,2014,45384
RSA,2018,45157
USA,2015,44749
FRA,2013,44491
USA,2013,43391
CHN,2019,42877
CHN,2018,42516
USA,2012,39822
FRA,2012,39773
JPN,2019,37670
GBR,2018,36802
GBR,2019,36019
FRA,2011,32926
USA,2011,31844
JPN,2017,31496
JPN,2022,30275
USA,2020,30069
CHN,2020,28964
GBR,2017,28320
USA,2010,27779
GBR,2016,27278
ITA,2018,26927
CHN,2017,26687
JPN,2015,26128
FRA,2010,25888
JPN,2014,25595
ESP,2019,25186
ESP,2018,24969
GBR,2022,24471
RSA,2017,23871
GBR,2021,23217
RSA,2019,22836
FRA,2009,22587
ESP,2016,22254
USA,2009,22163
RSA,2016,21902
JPN,2013,21706
ESP,2017,20795
ITA,2019,20516
FRA,2020,20315
ITA,2016,19837
GER,2018,19666
ITA,2017,17987
FRA,2008,17896
RSA,2000,17863
USA,2008,17670
CHN,2016,17198
JPN,2012,17116
ITA,2022,16736
GBR,2015,16400
POL,2019,16364
USA,2007,16205
CHN,2021,16172
FRA,2007,16029
RSA,1996,15817
POL,2018,15702
ESP,2014,15541
GER,2016,15110
GER,2019,15019
ESP,2015,14894
ITA,2021,14493
TPE,2016,14123
GER,2017,13965
FRA,2006,13336
GER,2022,13237
TPE,2018,12867
USA,2006,12741
RSA,1997,12306
GBR,2014,11981
HKG,2018,11926
ITA,2015,11783
JPN,2009,11488
ESP,2013,11404
USA,2005,11385
AUS,2018,11336
ITA,2014,11307
JPN,2010,11118
TPE,2019,11117
JPN,2011,11109
TPE,2015,11077
AUS,2022,10750
POL,2022,10548
RSA,2010,10501
JPN,2021,10380
FRA,2004,10311
POL,2021,10278
FRA,2003,10204
USA,2004,10172
FRA,2005,10060
TPE,2017,10022
AUS,2019,9988
ITA,2013,9740
GBR,2013,9735
USA,2003,9662
POL,2017,9631
CAN,2018,9557
GBR,2020,9400
TPE,2020,9229
THA,2020,9116
CAN,2019,8868
GER,2021,8829
ITA,2012,8813
GER,2013,8776
ESP,2012,8738
USA,1999,8716
USA,2002,8714
GER,2014,8505
RSA,2015,8432
POL,2016,8403
AUS,2021,8332
GER,2015,8293
USA,1996,8284
ESP,2021,8121
USA,2001,8073
RSA,2012,8067
USA,2000,8007
THA,2019,8000
POL,2020,7936
MAS,2019,7880
GER,2012,7858
RSA,2011,7841
THA,2022,7827
GBR,2012,7802
GER,2011,7778
FRA,2002,7655
CAN,2022,7648
GER,2009,7573
USA,1997,7504
RSA,2014,7481
USA,1998,7429
CHN,2015,7282
RSA,2001,7216
AUS,2016,7188
HKG,2016,7166
RSA,2013,7123
RSA,2004,7036
CAN,2016,7014
PHI,2018,6994
RSA,1998,6968
BEL,2018,6836
RSA,1999,6803
HKG,2017,6730
CAN,2017,6607
ESP,2011,6430
RSA,2003,6335
BEL,2019,6332
MAS,2018,6323
CHN,2022,6320
ITA,2011,6291
TPE,2013,6291
HKG,2019,6288
GER,2010,6267
TPE,2022,6209
SWE,2018,6167
AUS,2017,6162
JPN,2007,6120
TPE,2014,6076
KOR,2018,6034
BEL,2022,6011
TPE,2021,6004
ESP,2022,5975
JPN,2020,5818
PHI,2019,5805
GBR,2011,5802
JPN,2008,5783
SWE,2019,5711
SUI,2018,5697
POR,2018,5679
GER,1996,5507
POR,2016,5427
TPE,2012,5383
GER,2006,5379
PHI,2015,5348
RUS,2021,5250
GER,2005,5187
FRA,2000,5108
GER,2008,5085
GER,2020,5041
FRA,2001,5039
AUS,2020,5011
AUS,2014,4997
RSA,2002,4953
POR,2017,4925
RSA,2005,4923
RUS,2018,4873
GER,2007,4872
ARG,2018,4864
RUS,2019,4834
RSA,2009,4783
BEL,2017,4776
SUI,2019,4765
JPN,2006,4745
BEL,2016,4707
SWE,2022,4693
AUS,2015,4681
PHI,2014,4679
FRA,1999,4640
KOR,2019,4605
FRA,1998,4528
PHI,2017,4518
MAS,2017,4503
GBR,2010,4465
ESP,2010,4428
KOR,2016,4401
GER,2004,4342
BEL,2021,4327
ARG,2019,4325
CAN,2021,4321
CHN,2014,4302
CAN,2014,4288
RSA,2006,4280
HKG,2014,4264
CAN,2015,4238
RSA,2007,4224
CZE,2018,4220
SUI,2017,4219
BRA,2018,4213
MEX,2018,4167
AUS,2013,4140
ARG,2017,4134
THA,2018,4106
SUI,2022,4101
PHI,2016,4093
ITA,2010,4067
NED,2019,4046
POL,2015,4007
HUN,2018,4002
MAS,2016,3995
PHI,2013,3906
GER,2002,3860
FRA,1996,3855
GER,2003,3805
HKG,2015,3789
SWE,2016,3745
SUI,2016,3731
SWE,2021,3723
RSA,2008,3723
ITA,2009,3715
NED,2018,3696
POR,2019,3684
NED,2022,3503
MEX,2019,3465
ARG,2016,3422
KOR,2017,3398
SWE,2017,3366
HUN,2019,3356
KOR,2007,3342
THA,2017,3329
JPN,2003,3326
ESP,2020,3324
GER,2001,3316
GER,1997,3264
ITA,2008,3252
BEL,2015,3236
NED,2017,3221
GER,2000,3218
SUI,2021,3209
CAN,2013,3209
NZL,2019,3197
ITA,2020,3190
JPN,2005,3172
GER,1998,3159
AUT,2018,3136
POL,2014,3120
THA,2021,3117
MEX,2017,3116
NED,2016,3112
AUS,2012,3082
KOR,2006,3058
BRA,2019,3034
IND,2018,3012
IND,2019,2999
GER,1999,2989
JPN,2004,2961
KOR,2008,2944
CZE,2019,2933
BEL,2014,2930
SWE,2014,2920
RUS,2020,2912
NOR,2018,2907
GBR,2009,2879
RUS,2017,2876
BEL,2013,2854
NZL,2018,2854
CAN,2012,2851
MEX,2016,2823
FIN,2019,2808
FRA,1997,2779
CZE,2016,2764
BRA,2017,2726
SWE,2015,2673
NOR,2019,2672
KOR,2014,2671
AUS,2011,2667
ESP,2009,2664
PHI,2012,2654
POR,2015,2603
KOR,2009,2571
KOR,2022,2565
AUT,2019,2539
FIN,2018,2421
ARG,2021,2415
CZE,2017,2414
GRE,2018,2359
TPE,2010,2322
NED,2015,2306
HUN,2022,2295
AUT,2016,2276
AUS,2010,2276
BEL,2012,2273
NOR,2016,2269
NZL,2020,2250
DEN,2018,2233
ITA,2007,2222
ARG,2015,2221
FIN,2021,2208
POL,2013,2199
SUI,2015,2182
NZL,2016,2173
FIN,2022,2170
SUI,2014,2151
AUT,2017,2121
NZL,2021,2117
GBR,2008,2110
JPN,2001,2109
ITA,2004,2108
CAN,2010,2095
BRA,2016,2093
SUI,2013,2088
KOR,2010,2070
CAN,2011,2064
MAS,2022,2061
KOR,2015,2029
KOR,2011,1996
KOR,2013,1993
AUT,2022,1971
POR,2014,1967
DEN,2019,1961
KOR,2012,1957
KOR,2005,1955
NED,2014,1941
DEN,2017,1936
DEN,2016,1929
NOR,2017,1879
IRL,2018,1878
SUI,2012,1865
SVK,2018,1860
CZE,2022,1860
JPN,2002,1835
SWE,2013,1833
BRA,2015,1832
NOR,2022,1826
MAS,2015,1822
RUS,2016,1814
GRE,2019,1805
HUN,2016,1802
NED,2013,1796
HUN,2017,1795
MAS,2020,1790
HUN,2020,1784
NED,2021,1782
IRL,2019,1754
NZL,2017,1723
ITA,1997,1710
NOR,2021,1710
POR,2021,1705
GRE,2016,1704
THA,2016,1701
NZL,2022,1690
SVK,2019,1688
HUN,2021,1682
RSA,2021,1675
TUR,2019,1674
GRE,2017,1664
ARG,2014,1656
AUT,2021,1653
AUS,2009,1637
SUI,2011,1635
SUI,2020,1624
POR,2022,1621
FIN,2017,1620
ESP,2008,1610
BEL,2011,1577
ROU,2019,1577
SWE,2020,1577
TUR,2018,1576
CAN,2009,1575
IRL,2016,1571
IRL,2022,1570
ARG,2022,1558
BUL,2018,1553
GBR,2007,1545
ITA,2006,1521
RSA,2020,1518
SGP,2018,1518
GRE,2022,1517
HKG,2013,1514
CZE,2021,1511
SUI,1996,1507
ITA,1996,1504
DEN,2015,1468
JPN,1999,1468
MEX,2015,1465
DEN,2014,1460
IND,2017,1440
NZL,2015,1434
TPE,2011,1397
ROU,2018,1395
AUT,2015,1394
GRE,2021,1390
GBR,2006,1379
KOR,2021,1367
SUI,2009,1350
BRA,2014,1344
CAN,2008,1342
SVK,2016,1341
FIN,2016,1332
NOR,2015,1327
ITA,2003,1317
IRL,2017,1309
BEL,2009,1299
TPE,2008,1296
AUS,2008,1287
HKG,2020,1286
SLO,2019,1273
IRL,2021,1271
CAN,2007,1267
AUT,2014,1251
NED,2012,1239
UKR,2019,1236
ITA,2005,1233
ARG,2013,1215
PHI,2011,1208
CZE,2014,1202
SUI,2010,1201
ROU,2022,1197
GBR,2005,1193
ITA,2002,1179
ITA,2001,1173
VIE,2022,1173
SGP,2019,1150
UKR,2018,1149
BEL,2010,1147
MAS,2014,1142
BRA,2013,1137
CHN,2013,1129
BUL,2019,1128
CZE,2015,1125
CAN,2005,1113
HUN,2009,1106
HUN,2013,1101
DEN,2022,1097
CAN,2020,1090
ITA,1998,1090
DEN,2021,1085
HUN,2012,1084
SGP,2016,1084
AUT,2012,1083
CAN,2004,1073
HUN,2014,1072
NZL,2014,1070
MEX,2014,1069
BEL,2020,1066
TUR,2021,1065
TUR,2017,1062
AUT,2013,1061
SWE,2012,1058
NED,2011,1057
NOR,2014,1057
PHI,2022,1056
GBR,2004,1050
HUN,2008,1049
GRE,2020,1045
SGP,2017,1044
UKR,2021,1044
AUS,2007,1039
JPN,2000,1038
NED,2009,1026
IRL,2015,1021
HUN,2015,1020
CHI,2018,1019
AUS,2006,1010
HUN,2011,1002
SVK,2017,1000
BUL,2021,993
NOR,2020,986
HUN,2010,981
ITA,2000,974
ITA,1999,972
CAN,2006,970
CZE,2020,965
ESP,2005,963
POL,2012,959
AUS,1996,954
ESP,2006,952
GRE,2013,941
AUS,2005,936
CRO,2018,929
IRL,2014,928
TPE,2009,926
RUS,2015,919
INA,2019,906
ESP,2001,905
IND,2016,895
ROU,2021,892
ESP,2004,883
CAN,2003,877
GBR,2003,875
TUR,2016,870
KOR,2004,869
DEN,2013,863
CHI,2019,859
PHI,2020,855
SLO,2018,854
SLO,2022,854
IND,2021,854
SVK,2021,850
SUI,2008,844
BUL,2017,842
NED,2020,833
ISR,2019,826
IND,2022,822
BUL,2022,816
GRE,2015,808
VIE,2020,805
CAN,2002,805
SUI,1997,794
CAN,2001,790
IRL,2013,787
AUT,2011,785
RUS,2014,784
FIN,2015,783
ESP,2003,779
INA,2018,773
ESP,2007,770
CAN,1999,762
SGP,2013,754
SUI,2000,751
CHI,2016,748
SUI,2006,748
VIE,2019,748
BUL,2016,744
ARG,2011,741
SGP,2014,739
CAN,2000,737
SLO,2021,736
CRO,2019,733
AUT,2010,729
NZL,2013,728
DEN,2020,727
CHI,2017,722
TPE,2007,715
SUI,2007,715
THA,2015,708
NED,2010,707
ARG,2012,702
ROU,2017,698
GRE,2012,695
AUS,1997,693
KOR,2003,691
SGP,2015,691
CRO,2022,689
NZL,2012,688
UKR,2020,687
PHI,2010,683
IRL,2020,670
GBR,1998,663
POR,2020,663
SUI,1998,659
SWE,2011,654
SUI,2004,653
TPE,2006,649
CHN,2012,648
SLO,2016,648
ESP,2002,647
CZE,2013,647
SUI,2003,645
AUT,2020,644
SVK,2022,639
CAN,1998,636
IRL,2012,627
GBR,1996,626
BRA,2012,626
TPE,2005,626
RSA,2022,624
ISL,2021,622
GBR,2000,621
FIN,2014,618
AUS,2004,617
ISR,2016,616
NED,2008,615
GRE,2014,615
IND,2020,614
COL,2018,614
CHI,2015,613
SWE,2009,608
CAN,1996,607
SWE,2008,603
HKG,2022,602
POR,2013,600
SUI,2002,599
INA,2017,598
BRA,2020,597
SRB,2018,596
ISR,2018,595
SVK,2020,595
CAN,1997,590
SVK,2014,589
BEL,2008,583
NOR,2013,578
COL,2016,577
MEX,2013,576
GBR,1999,574
AUS,1999,571
MEX,2020,571
CHI,2014,570
GRE,2011,569
LAT,2018,568
ROU,2016,568
SWE,2010,567
CRO,2017,566
SUI,2005,565
SUI,2001,565
NED,2007,562
BRA,2011,560
CHN,2011,558
SRB,2019,558
AUS,1998,558
BRA,2009,554
NZL,2011,554
ISR,2015,553
FIN,2020,551
MEX,2011,547
HKG,2012,543
GBR,2002,542
GBR,2001,541
LAT,2019,538
BEL,2007,536
AUS,2003,535
BRA,2010,534
NED,2004,532
BUL,2020,528
SLO,2017,528
COL,2017,527
ARG,2020,523
POR,2012,522
GBR,1997,522
SUI,1999,521
SVK,2015,520
POL,2011,516
NOR,2012,511
CZE,2012,508
BRU,2019,506
COL,2015,503
SLO,2015,503
AUS,2002,502
SGP,2012,501
AUS,2001,500
TUR,2022,495
BEL,2006,495
CRC,2016,493
NED,2003,492
NED,2005,491
ZIM,2018,487
ECU,2019,482
UKR,2017,482
CZE,2011,477
LAT,2016,475
ISL,2022,473
GUA,2018,470
COL,2019,467
NZL,2010,463
ISL,2020,462
ROU,2020,461
ISL,2019,459
SRB,2021,459
ISR,2017,456
IRL,2011,454
CHN,2010,453
CRO,2016,452
AUT,2009,452
KOR,2020,450
BEL,2004,449
LAT,2021,447
VIE,2018,447
TPE,2003,446
BEL,2005,443
CRC,2019,440
MAS,2021,439
ISR,2014,436
BRU,2018,435
AUS,2000,435
BEL,2002,432
SGP,2011,432
MEX,2008,431
PER,2018,431
LAT,2017,431
SVK,2013,429
ECU,2018,428
BEL,1996,427
LAT,2020,424
MAD,2018,422
CRC,2018,417
CRC,2017,410
DEN,2012,401
IRL,2010,400
NED,2006,398
MAS,2013,395
VEN,2016,394
AUT,2008,394
BRA,2008,393
POL,2010,393
JPN,1998,390
ZIM,2019,386
ISL,2018,382
GUA,2017,376
LAT,2014,376
BEL,2000,368
CHI,2013,367
TUR,2015,366
NZL,2009,365
IND,2015,363
LTU,2019,362
DEN,2011,362
LAT,2022,361
CRO,2021,358
LAT,2015,354
PER,2019,354
INA,2020,353
INA,2022,353
FIN,2013,351
BUL,2015,348
POL,2009,347
BEL,2003,345
COL,2014,345
LTU,2021,343
MEX,2009,343
MEX,2012,340
INA,2016,339
FIN,2010,337
RUS,2013,335
SRB,2015,335
GRE,2010,333
SRB,2017,332
NOR,2010,325
BRA,2022,322
KOR,2002,321
LTU,2018,316
AUT,2007,314
ROU,2015,313
LTU,2020,310
LTU,2022,307
MAS,2012,306
SRB,2016,305
MRI,2018,305
MEX,2010,305
AUT,2004,304
NOR,2009,303
BRU,2017,303
SGP,2009,303
HUN,2007,302
CRO,2015,301
RUS,2011,301
GRE,2009,299
GUA,2016,299
CRO,2014,296
PER,2016,295
FIN,2012,294
NZL,2008,292
IND,2014,291
NED,2002,290
AUT,2006,289
DEN,2010,288
ARG,2010,287
PER,2017,287
SLO,2014,284
RUS,2022,284
RUS,2012,283
NED,1997,283
AUT,2005,282
NED,1999,282
ECU,2013,279
ECU,2017,279
PER,2015,279
UKR,2016,276
RUS,2003,276
LUX,2016,275
IND,2013,274
RUS,2001,272
GUA,2019,271
SGP,2022,269
LUX,2018,269
ECU,2016,266
SRB,2022,264
TUR,2014,263
ESP,1999,262
NED,1996,262
MAD,2016,260
NZL,2006,260
VEN,2017,256
BEL,2001,255
CRC,2015,254
NZL,2000,254
FIN,2011,253
VEN,2019,252
ISL,2016,252
NED,2001,252
SGP,2010,250
ESP,2000,250
NED,2000,249
ZIM,2017,248
HKG,2011,247
MAS,2011,246
SLO,2010,243
NZL,2004,240
CRO,2020,240
VEN,2018,239
POL,2008,237
VEN,2015,235
NEP,2018,235
VEN,2014,234
SVK,2012,232
ISL,2017,231
ROU,2011,230
DEN,2009,230
INA,2021,228
BRA,2002,228
ISR,2013,228
EST,2020,227
NZL,2007,224
DEN,2008,224
POL,2007,219
FIN,2009,218
NED,1998,218
NOR,2011,218
AUT,2002,218
LAT,2013,217
NZL,2002,217
BEL,1997,217
NZL,2005,212
AUT,2003,211
NZL,2003,210
SLO,2001,210
RUS,2007,209
EST,2022,206
NZL,2001,205
POR,2011,201
MAD,2014,201
SLO,2013,201
AUT,1996,201
AUT,2001,201
DEN,2006,201
IRL,2009,200
IND,2012,200
UKR,2012,200
PHI,2021,199
LAT,2012,198
SWE,2007,197
SRB,2013,196
BRA,2021,195
BEL,1999,195
SGP,2008,195
KAZ,2019,194
NEP,2019,192
CZE,2010,191
CZE,2009,191
INA,2015,191
ISL,2011,191
GRE,2007,191
BRA,2006,191
LUX,2017,190
SLO,2011,190
UKR,2015,189
CRO,2013,189
BEL,1998,189
ROU,2014,189
LUX,2019,187
GRE,2008,184
BIH,2018,183
MAD,2019,182
POL,1996,181
POL,2006,181
ZIM,2016,181
HKG,2021,180
BUL,2014,179
MRI,2019,178
POR,2008,177
URU,2019,177
POR,2010,175
HUN,2006,175
ISL,2009,175
BRA,2007,173
TUN,2021,172
MRI,2016,172
CHI,2010,171
URU,2017,171
POR,2009,171
MAC,2018,169
TUR,2013,169
SVK,2011,169
MAC,2019,168
MAD,2017,168
CHI,2021,166
DEN,2007,166
SLO,2003,164
ESP,1998,162
ISR,2012,161
PAR,2018,160
RUS,2002,160
UKR,2022,160
AND,2017,160
ESP,1997,159
POL,2001,159
CHN,2009,159
ARG,2007,159
URU,2018,158
MEX,2022,158
SRB,2012,158
FIN,2008,156
KAZ,2018,156
HUN,1996,156
HUN,2001,155
NOR,2008,155
LUX,2012,155
TUN,2022,155
URU,2016,154
BIH,2019,153
ECU,2014,153
SGP,2020,152
CZE,2001,152
