athlete_country,year_of_event,total_finishers
TAN,2011,7
LIE,2019,7
LES,2008,7
MDV,2018,7
ALG,2003,6
CRC,2005,6
PLE,2022,6
VIE,2012,6
EST,2008,6
ALB,2020,6
HON,2017,6
GEO,2021,6
LUX,1997,6
PHI,2008,6
ESA,2012,6
TJK,2003,6
CHN,2000,6
SEN,2012,6
URU,2005,6
VEN,2004,6
PAK,2020,6
MAS,2006,6
CPV,2022,6
AFG,2019,6
SWZ,2002,6
IVB,2012,6
CPV,2017,6
CHI,1999,6
SRB,1999,6
SYR,2019,6
NGR,2014,6
MDA,2014,6
NEP,2005,6
EST,2005,6
ISR,2006,6
SWZ,2003,6
KAZ,1999,6
KAZ,1997,6
ISR,2002,6
CRO,1996,6
GUY,2013,6
ANG,2019,6
GUY,2015,6
TPE,2002,6
ARG,2001,6
GUY,2016,6
TUN,2001,6
TUN,1997,6
SEN,2011,6
TUN,2014,6
PUR,2009,6
ANG,2013,6
XXX,2006,6
ETH,2017,6
EST,2009,6
PUR,2021,6
TUN,2006,6
ROU,2006,6
ROU,2001,6
ROU,1996,6
MNE,2011,6
NCA,2008,6
BOT,2011,6
TUN,2005,6
TUR,2005,6
BOT,2004,6
BOT,2010,6
TUR,2006,6
KSA,2016,6
CYP,2010,6
AFG,2018,5
ETH,2022,5
ETH,2021,5
ETH,2019,5
ETH,2013,5
ETH,1999,5
MOZ,2004,5
XXX,2003,5
XXX,2005,5
FRO,2018,5
FRO,2017,5
MON,2016,5
EST,2006,5
GAB,2021,5
MYA,2018,5
UAE,2014,5
MON,2004,5
UAE,1996,5
GRE,1996,5
GEO,2012,5
UGA,2016,5
NAM,2008,5
URU,2000,5
AND,2004,5
MNE,2020,5
AND,2006,5
UZB,2018,5
VEN,2006,5
GAB,2016,5
TUR,2009,5
TUN,1998,5
ARG,2002,5
GUY,2017,5
GUY,2010,5
GUY,2014,5
SWZ,2007,5
MGL,2015,5
TUN,2000,5
TUN,2013,5
GRL,2019,5
TUN,2010,5
CAY,2019,5
GRL,2020,5
ECU,2003,5
ECU,2007,5
PAR,2013,5
PAN,2011,5
PER,2008,5
PHI,2006,5
MAR,2004,5
MAR,2007,5
MAD,2020,5
MAD,2021,5
OMA,2016,5
LTU,2002,5
LIE,2020,5
LES,2022,5
SEN,2018,5
SEN,2015,5
BOL,2013,5
KGZ,2016,5
COM,2013,5
COM,1997,5
JOR,2020,5
SGP,2006,5
MDA,2020,5
COL,2010,5
CPV,2005,5
CPV,2004,5
SGP,2001,5
KAZ,2012,5
COM,2016,5
COM,2017,5
COD,2019,5
KEN,2000,5
SMR,2020,5
BIH,2001,5
BER,2012,5
SRB,2008,5
SRB,2001,5
SRB,2002,5
CHA,2015,5
SUD,2017,5
STP,2021,5
SRI,2019,5
CHI,2006,5
CUB,2015,5
AZE,2022,5
NEP,2006,5
ARM,2016,5
ARM,2017,5
IRI,2009,5
IRI,2010,5
LIE,2010,5
LTU,2007,5
LES,1996,5
LBA,2008,5
KUW,2012,5
KUW,2009,5
LIE,2015,5
LES,2006,5
PUR,2014,5
LAO,2019,5
ROU,1999,5
ROU,2002,5
ROU,2005,5
BOL,2010,5
TUN,2003,4
TUN,2002,4
IRI,1996,4
CYP,2009,4
SYR,2018,4
TAN,2014,4
ARG,1999,4
CGO,2018,4
TUN,1999,4
GUY,2009,4
GUY,2003,4
TUR,2002,4
GRL,2018,4
MLI,2022,4
GUY,2002,4
TUN,2009,4
DOM,2013,4
DOM,2012,4
GEO,2017,4
MOZ,1999,4
MOZ,2014,4
EST,2004,4
XXX,1997,4
XXX,2000,4
FRO,2021,4
ALG,2000,4
GAM,2018,4
ESA,2020,4
MON,2014,4
MON,2015,4
MON,2011,4
MOZ,2015,4
GAB,2022,4
GAB,2017,4
ANG,2010,4
GUA,2005,4
GRL,2021,4
AND,1999,4
ALG,2006,4
EGY,2020,4
UAE,2013,4
ECU,2006,4
MON,2008,4
MON,2009,4
MON,2010,4
UAE,2010,4
GRL,2016,4
GRL,2009,4
JOR,2002,4
JOR,2000,4
BOL,2011,4
BOL,2012,4
COD,2017,4
COD,2015,4
KGZ,2020,4
KAZ,2004,4
SEN,2010,4
RWA,2013,4
KAZ,2008,4
SEN,2022,4
NIG,2017,4
COL,2005,4
MDV,2019,4
JOR,2007,4
BIH,2005,4
BIH,2002,4
CPV,2011,4
CRO,1999,4
ISR,2003,4
CHI,2007,4
IND,2006,4
CUB,2016,4
MGL,1999,4
SRI,2012,4
IVB,2021,4
BIH,2009,4
LAT,1996,4
CAM,2013,4
PUR,2022,4
LAO,2020,4
KUW,2018,4
KUW,2015,4
LIE,1996,4
LBN,2021,4
LES,2005,4
LIE,2003,4
CMR,2012,4
CMR,2013,4
LBN,2011,4
MAW,2012,4
PUR,2020,4
BOT,2005,4
BUR,2013,4
LAT,1999,4
LTU,1999,4
LTU,2001,4
PLE,2020,4
LIE,2011,4
PER,2006,4
PHI,2005,4
BRU,2011,4
OMA,2015,4
LTU,1998,4
LTU,2006,4
CHN,2001,4
PER,2005,4
MAD,2008,4
PAN,2009,4
MAD,2006,4
MAR,2005,4
MAS,1998,4
PAK,2018,4
MAW,2000,4
ZAM,2009,4
ALB,2011,3
ETH,2003,3
MRI,2003,3
AFG,2017,3
AFG,2016,3
XXX,2004,3
BER,2000,3
BAN,2018,3
BAN,2022,3
SRI,2015,3
SRI,2022,3
STP,2022,3
ISR,1997,3
GAB,2011,3
GAB,2012,3
GAB,2014,3
ALG,1996,3
ESA,2011,3
OMA,2020,3
PAK,2015,3
PAK,2016,3
PAK,2017,3
PAR,2010,3
MAW,2022,3
MON,2012,3
VIE,2010,3
PAR,2011,3
PAR,2021,3
FRO,2019,3
ISR,2000,3
ISR,2004,3
AZE,2017,3
AZE,2021,3
BER,2007,3
BER,2008,3
BER,2021,3
BHU,2015,3
BHU,2016,3
BHU,2018,3
BHU,2019,3
UZB,2019,3
VEN,1999,3
GAM,2017,3
PER,2010,3
PHI,2007,3
CIV,2017,3
MAW,2021,3
BAH,2018,3
CUB,2000,3
IRQ,2015,3
IRQ,2016,3
IRQ,2019,3
NGR,2011,3
NGR,2013,3
NGR,2021,3
ISV,2019,3
CPV,2007,3
CPV,2012,3
ESA,2000,3
ESA,2001,3
ESA,2005,3
ESA,2009,3
EGY,2008,3
ALG,2005,3
UZB,2017,3
BUL,2007,3
BUL,2009,3
BUL,2010,3
CHN,1998,3
SRB,2004,3
CUB,2014,3
CHI,2003,3
SOM,2018,3
ISV,2016,3
CHA,2017,3
CHA,2018,3
CHI,1996,3
GEO,2010,3
AND,2002,3
AND,2005,3
AND,2007,3
ERI,2022,3
BRN,2019,3
BRN,2021,3
PLE,2021,3
LIE,2007,3
ESA,1999,3
EGY,2012,3
EGY,2013,3
EGY,2014,3
MON,2018,3
MON,2019,3
MON,2021,3
MON,2022,3
LIE,2012,3
LES,2021,3
LIE,2002,3
ARM,2015,3
ARM,2018,3
ARM,2019,3
ARM,2021,3
SMR,2008,3
SOM,2010,3
JOR,2003,3
BIH,2003,3
BIH,2007,3
IVB,2020,3
JAM,2018,3
IND,2003,3
INA,2011,3
LBN,2012,3
BUR,2016,3
BUR,2017,3
BUR,2018,3
BUR,2019,3
GEO,2016,3
SWZ,2008,3
HKG,2002,3
SWZ,2021,3
SGP,2004,3
COM,2011,3
SYR,2017,3
UGA,2004,3
UGA,2013,3
GRE,1998,3
DOM,2021,3
EGY,2005,3
GEO,2013,3
TAN,2009,3
TAN,2019,3
TOG,2019,3
COM,2019,3
NIG,2011,3
NIG,2015,3
NIG,2016,3
SEN,2009,3
KAZ,1998,3
KAZ,2000,3
KAZ,2007,3
HKG,1996,3
HKG,1998,3
CAF,2008,3
CAF,2017,3
DOM,2009,3
DOM,2011,3
CMR,2007,3
CMR,2009,3
PUR,2007,3
PUR,2010,3
PYF,2019,3
HKG,2000,3
DAN,2021,3
MKD,2011,3
MDA,2011,3
RWA,2017,3
RWA,2018,3
RWA,2019,3
CGO,2010,3
GUA,1997,3
GUA,2002,3
GUA,2003,3
GUA,2007,3
ANG,2011,3
NCA,2009,3
NCA,2012,3
QAT,2015,3
NEP,2001,3
MGL,2011,3
TPE,1999,3
ANG,2014,3
MDA,2005,3
MLT,2010,3
GUY,2004,3
GRL,2017,3
CAM,2014,3
LAT,1997,3
LAT,1998,3
ROU,2003,3
KSA,2021,3
GUA,1996,3
TRI,2018,3
TUN,1996,3
TUN,2011,3
COL,2002,3
KOS,2016,3
KGZ,2021,3
KAZ,2020,3
KUW,2014,3
BOT,2002,3
BOT,2008,3
CAY,2015,3
GUY,2001,3
MNE,2012,3
MNE,2014,3
NCA,2020,3
NCA,2022,3
KSA,2015,3
KSA,2017,3
BOL,2008,3
COK,2016,3
AFG,2015,3
MOZ,2022,3
MOZ,2002,3
BEN,2022,3
ETH,2009,3
YEM,2020,3
AFG,2020,3
MAW,1996,3
ESA,2013,3
ESA,2014,3
XXX,1998,3
XXX,1999,2
XXX,1996,2
VIE,2013,2
MAS,2007,2
ZAM,2014,2
ZAM,2011,2
ZAM,2010,2
ZAM,2006,2
ETH,2010,2
BEN,2019,2
BEN,2017,2
FIJ,2018,2
EST,2003,2
EST,2002,2
EST,2000,2
EST,1997,2
MOZ,2012,2
MOZ,2005,2
MOZ,2003,2
ETH,2008,2
XXX,2001,2
COL,1996,2
COK,2014,2
KSA,2018,2
KSA,2013,2
KSA,2012,2
NCA,2021,2
MNE,2013,2
MLT,2009,2
MLT,2008,2
KSA,2011,2
BOT,2009,2
BOT,2006,2
BOT,2003,2
KUW,2020,2
KUW,2017,2
KUW,2016,2
KUW,2013,2
KUW,2011,2
KUW,2010,2
GUY,2000,2
KEN,2020,2
KEN,2007,2
KOR,1998,2
KGZ,2017,2
KGZ,2015,2
GUI,2014,2
TUN,2015,2
ARG,2000,2
GRN,2022,2
ROU,2004,2
QAT,2021,2
CAM,2012,2
TUR,2001,2
TUR,1999,2
TUR,1996,2
GUY,2008,2
MDA,2001,2
MDA,1997,2
MDV,2022,2
KEN,2004,2
KEN,2003,2
KEN,2001,2
ARG,1998,2
ANG,2022,2
ANG,2017,2
CGO,2017,2
LAO,2017,2
QAT,2014,2
QAT,2012,2
UAE,2000,2
UAE,1997,2
TUR,2008,2
GRL,2014,2
GUA,2006,2
CAY,2022,2
SEN,2008,2
SEN,2007,2
MDA,2013,2
MDA,2009,2
MDA,2006,2
CAY,2020,2
MKD,2010,2
COD,2010,2
CMR,2015,2
UAE,2015,2
UAE,2012,2
MNE,2010,2
BUR,2022,2
BUR,2021,2
HKG,1999,2
HKG,1997,2
HAI,2018,2
KAZ,2005,2
SEY,2012,2
SEN,2017,2
SGP,2002,2
KAZ,2011,2
KAZ,2009,2
TKS,2012,2
TKM,2018,2
THA,2011,2
TAN,2022,2
TAN,2013,2
TAN,2012,2
TAN,2004,2
TAN,2002,2
TAN,2001,2
SYR,2022,2
MAW,2010,2
MAW,2009,2
MAW,2005,2
GIB,2018,2
GHA,2013,2
GHA,1996,2
GIB,2021,2
GIB,2020,2
UGA,2022,2
PYF,2022,2
SYR,2020,2
COM,1998,2
SKN,2021,2
SGP,2003,2
COL,2007,2
COL,2006,2
MDV,2017,2
SWZ,2020,2
HON,2010,2
HKG,2004,2
EGY,2011,2
EGY,2010,2
GEO,2022,2
BUL,2000,2
BUR,2015,2
BUR,2014,2
LBN,2013,2
BOT,2021,2
LBN,2008,2
MAW,2020,2
HON,2021,2
HON,2020,2
CYP,2008,2
JAM,2012,2
IVB,2022,2
BIH,2006,2
SOM,2011,2
IVB,2014,2
IVB,2013,2
CRC,1997,2
IND,2001,2
IND,2000,2
IRI,2006,2
CUB,2011,2
ARM,2014,2
CUB,1997,2
CYP,2006,2
CUB,2021,2
CGO,2019,2
MOZ,1998,2
LES,2007,2
LIE,2004,2
LIE,1997,2
PNG,2017,2
MON,2017,2
BRN,2016,2
LTU,2003,2
ERI,2020,2
ERI,2015,2
MYA,2022,2
MOZ,2000,2
NGR,2001,2
CHI,2000,2
CGO,2022,2
ISV,2017,2
ISV,2015,2
MGL,2000,2
MGL,2021,2
BAH,2019,2
OMA,2017,2
BUL,2008,2
ESA,2010,2
ESA,2007,2
ESA,2002,2
SRB,2003,2
ISV,2018,2
NGR,2020,2
IRQ,2009,2
IRQ,2005,2
CIV,2007,2
PHI,1997,2
MTN,2021,2
MTN,2006,2
VEN,2005,2
UZB,2022,2
BRN,1996,2
BUL,1997,2
LUX,1996,2
BER,2019,2
BER,2009,2
CRO,1998,2
CRO,1997,2
ISR,2005,2
GAB,2009,2
FRO,2015,2
PER,1997,2
MAC,2012,2
VIE,2009,2
VIE,2008,2
VEN,2007,2
ERI,2016,2
MYA,2017,2
BUL,2003,2
PAN,2020,2
PAK,2014,2
PAK,2013,2
ALG,1998,2
ALG,1997,2
GAB,2010,2
ISR,1999,2
ISR,1998,2
ISR,1996,2
SUD,2011,2
SUD,2010,2
STP,2020,2
SRI,2010,2
SRI,2009,2
BER,1996,2
EST,1996,2
ZAM,2022,2
MRI,2002,2
ALB,2010,2
AHO,2013,1
ALB,2001,1
ALB,2003,1
ALB,2006,1
ALB,2007,1
ALB,2009,1
ZAM,2020,1
ZAM,2021,1
MRI,1997,1
MOZ,2001,1
MOZ,2008,1
MAS,2001,1
MAS,1997,1
PAN,2008,1
PAN,2007,1
PAK,2005,1
MAW,2003,1
MAW,2001,1
ALG,2002,1
ALG,2001,1
ALG,1999,1
GAB,2008,1
FRO,2016,1
PER,2007,1
PER,2004,1
PER,2002,1
PER,2001,1
BER,2022,1
BER,2015,1
BER,2014,1
BER,2013,1
BER,2003,1
BAH,2010,1
AZE,2020,1
IRQ,2022,1
SVE,2021,1
BDI,2019,1
BAR,2019,1
BEN,2003,1
BEN,2002,1
SUD,2018,1
SUD,2015,1
SUD,2009,1
CPV,2010,1
CPV,2009,1
ISV,2021,1
ISV,2020,1
NGR,2010,1
NGR,2008,1
IRQ,2018,1
IRQ,2017,1
IRQ,2008,1
IRQ,2004,1
IRQ,2001,1
CUB,2003,1
CUB,1998,1
BAH,2014,1
BAH,2012,1
BHU,2014,1
NFI,2022,1
NFI,2021,1
ISV,2011,1
SOM,2019,1
SOM,2013,1
MGL,2002,1
MGL,2001,1
MKD,2007,1
MKD,2002,1
MGL,2020,1
CUB,2020,1
CUB,2017,1
CUB,2013,1
BAN,2015,1
BAN,2014,1
IRQ,2021,1
ARM,2022,1
IRI,2020,1
IRI,2008,1
IRI,2005,1
IRI,2003,1
CUB,2012,1
CUB,2005,1
CUB,1996,1
CYP,2007,1
CYP,2005,1
CYP,2001,1
CUB,2022,1
MGL,2007,1
MGL,2005,1
MGL,2004,1
NGR,2002,1
COM,2014,1
COM,2012,1
SOM,2012,1
SOM,2009,1
SOM,2007,1
SOM,2004,1
SOM,2003,1
IVB,1997,1
CRC,1999,1
SMR,2012,1
SMR,2011,1
SMR,2007,1
IND,1999,1
IND,1997,1
ARU,2017,1
ARU,2003,1
SKN,2022,1
MDV,2015,1
MDG,2017,1
NIG,2019,1
NIG,2018,1
SWZ,2022,1
INA,2010,1
INA,2001,1
IRE,2017,1
IND,2002,1
JAM,2019,1
JAM,2015,1
JAM,2010,1
JAM,2009,1
JAM,2008,1
BIH,2004,1
TKM,2017,1
TJK,2016,1
THA,2009,1
THA,2001,1
THA,1997,1
TGA,2018,1
TAN,2021,1
TAN,2000,1
SYR,2021,1
SYR,2014,1
SYR,2013,1
SYR,2011,1
SYR,2010,1
COM,2003,1
COM,2002,1
SLE,2014,1
SEY,1998,1
SEN,2021,1
SEN,2013,1
NIG,2014,1
NIG,2013,1
NIG,2009,1
NIG,2003,1
NIG,2001,1
COM,2015,1
BIZ,2019,1
BIZ,2017,1
KAZ,2010,1
HAI,2017,1
TOG,2016,1
TOG,2015,1
TKM,2019,1
SAM,2016,1
RWA,2022,1
MDA,2012,1
MDA,2010,1
CAY,2021,1
MLI,1999,1
MKD,2009,1
DAN,2022,1
HAI,2022,1
HAI,2019,1
KAZ,2003,1
KAZ,2002,1
KAZ,1996,1
SGP,2000,1
SGP,1998,1
SEY,2015,1
MDA,1996,1
BUR,2020,1
NIG,2022,1
NIG,2021,1
RWA,1996,1
KEN,2002,1
KEN,1996,1
ARG,1996,1
ANT,2021,1
ANG,2021,1
MGL,2008,1
CGO,2007,1
CGO,2006,1
SEN,2004,1
SAM,2020,1
SAM,2019,1
COD,2014,1
KOR,1999,1
KOR,1996,1
COL,2004,1
COL,2000,1
TRI,2019,1
TRI,2017,1
TRI,2016,1
TRI,2015,1
HAI,2012,1
GUY,2021,1
GUY,2020,1
GUY,2012,1
GUY,2006,1
MDA,2004,1
MDA,2002,1
COL,1998,1
COL,1997,1
COK,2019,1
BOL,2009,1
BOL,2006,1
KSA,2014,1
CAY,2012,1
GUY,1999,1
GUY,1996,1
GUM,2017,1
GUM,2016,1
GUM,1997,1
GUI,2021,1
GUI,2015,1
KAZ,2013,1
KEN,2006,1
CAM,2011,1
CAM,2010,1
CAM,2009,1
CAM,2008,1
CAF,2018,1
TUR,2000,1
TUR,1998,1
TUR,1997,1
GUY,2005,1
MLT,2007,1
MLI,2021,1
MLI,2019,1
KSA,2007,1
KSA,2001,1
KUW,2021,1
COL,1999,1
MON,2003,1
UAE,2011,1
UAE,2007,1
UAE,2003,1
TWN,2018,1
GRL,2015,1
GRL,2013,1
GRL,2012,1
GRL,2011,1
GRL,2008,1
ANG,2012,1
GUA,2000,1
GUA,1998,1
ROU,1998,1
BUR,2011,1
BUR,2010,1
MNE,2007,1
MNE,2006,1
MNE,2005,1
CAF,2014,1
LAO,2022,1
KUW,2022,1
QAT,2010,1
QAT,2009,1
QAT,2007,1
QAT,2006,1
QAT,2000,1
MNE,2002,1
NCA,2010,1
MON,2007,1
MON,2006,1
MON,2005,1
PUR,2008,1
PUR,2000,1
COD,2011,1
COD,2009,1
CMR,2022,1
CMR,2017,1
CMR,2010,1
CMR,2008,1
DOM,2010,1
ECU,2002,1
ECU,1999,1
ECU,1997,1
UGA,2002,1
UGA,2000,1
UGA,1998,1
UGA,1997,1
GHA,2009,1
GHA,2008,1
GHA,2000,1
GHA,1999,1
EGY,2007,1
EGY,2006,1
EGY,2004,1
EGY,2000,1
GRB,2003,1
GIB,2022,1
UGA,2020,1
UGA,2015,1
UGA,2014,1
UGA,2012,1
UGA,2011,1
UGA,2005,1
LCA,2004,1
LBR,2019,1
LBN,2020,1
BOT,2022,1
LBN,2010,1
LBN,2007,1
LBN,2001,1
LBN,1996,1
LBA,2019,1
LBA,2018,1
COD,2013,1
MAW,2006,1
GEO,2014,1
GEO,2011,1
GIB,2017,1
GHA,2019,1
LES,2020,1
PNG,2021,1
PNG,2016,1
PNG,2014,1
PNG,2011,1
PNG,2009,1
LIE,2013,1
MOZ,1996,1
MON,2020,1
GEO,2020,1
GEO,2015,1
BUL,2002,1
BUL,2001,1
BUL,1999,1
LCA,2007,1
LCA,2005,1
PNG,1998,1
PLE,2017,1
PLE,2010,1
BRU,2008,1
BRN,2018,1
BRN,2017,1
BRN,2015,1
BRN,2001,1
AND,2000,1
AND,1998,1
GBS,2006,1
MON,2001,1
MON,2000,1
MON,1998,1
LIE,1999,1
LIE,1998,1
VEN,1998,1
UZB,2020,1
BUL,1998,1
BUL,1996,1
BRU,2010,1
BRU,2009,1
MAS,2005,1
MAS,2004,1
CHN,1996,1
UZB,2016,1
EGY,2009,1
ESA,2008,1
ESA,2004,1
ESA,1998,1
LIE,2006,1
PNG,1999,1
MYA,2014,1
BUL,2006,1
BUL,2004,1
CMR,2006,1
CIV,2018,1
CIV,2016,1
CIV,2015,1
CIV,2013,1
CIV,2011,1
MTN,2007,1
MOZ,2020,1
GAM,2016,1
GAM,2014,1
GAB,2020,1
VEN,2003,1
VEN,2001,1
PER,2000,1
PAR,2012,1
MAC,2010,1
MAC,2005,1
MAD,2005,1
MAD,2003,1
MAD,2000,1
MAD,1999,1
FRO,2014,1
VIE,2005,1
ERI,2019,1
GAM,2022,1
GAM,2019,1
MYA,2021,1
MYA,2020,1
MYA,2016,1
MOZ,2009,1
ETH,2006,1
ALB,2000,1
FIJ,2022,1
MRI,2006,1
MRI,2001,1
MRI,1999,1
MRI,1998,1
ETH,2000,1
ZAM,2008,1
ZAM,2005,1
ZAM,2003,1
ZAM,2002,1
ZAM,2000,1
YEM,2016,1
MAS,2003,1
SRI,2014,1
SRI,2013,1
SRI,2011,1
BAN,2021,1
BAN,2017,1
BAN,2016,1
BER,2001,1
BER,1999,1
BER,1998,1
BER,1997,1
BEN,2018,1
BEN,2005,1
FIJ,2019,1
ETH,2020,1
ETH,2012,1
MOZ,2010,1
